Country or Area,longitude,latitude,Commodity - Transaction,Unit,yr_2000,yr_2001,yr_2002,yr_2003,yr_2004,yr_2005,yr_2006,yr_2007,yr_2008,yr_2009,yr_2010,yr_2011,yr_2012,yr_2013,yr_2014,yr_2015,yr_2016,yr_2017,yr_2018,yr_2019,yr_2020,yr_2021
Argentina,-64.53238504,-35.69727052,Electricity - total nuclear production,"Kilowatt-hours, million",6177,7059,5821,7566,7869,6873,7691,7217,7330,8161,7171,6371,6395,6207,5756,7139,8285,6088,6453,7927,10706.824,10830.7
Belgium,4.675010155,50.61821389,Electricity - total nuclear production,"Kilowatt-hours, million",48157,46349,47360,47379,47312,47595,46645,48227,45568,47222,47944,48234,40295,42644,33703,26103,43523,42226.8,28597,43523.6,34434.7,50326.2
Brazil,-54.35520661,-11.52463042,Electricity - total nuclear production,"Kilowatt-hours, million",6046,14279,13836,13358,11611,9855,13754,12350,13969,12957,14523,15659,16038,15450,15378,14734,15864,15739,15674,16129,14053,14704.588
Bulgaria,25.25173912,42.82043677,Electricity - total nuclear production,"Kilowatt-hours, million",18178,19553,20222,17280,16815,18653,19493,14643,15765,15256,15249,16314,15785,14171,15867,15383,15776,15545.499,16125.281,16555.288,16625.765,16486.894
Canada,-98.41680518,57.55048004,Electricity - total nuclear production,"Kilowatt-hours, million",72799,76695,75526,74892,90387,92040,97964,93482,96020,90091,90658,93589,94862,103439,107280,101809,101429,101299,100731,101197,98195,92629
China,104.6911386,38.07325481,Electricity - total nuclear production,"Kilowatt-hours, million",16737,17472,25127,43342,50469,53088,54843,62130,68394,70134,73880,86350,97394,111613,132538,170789,213287,248100,294359,348350,366250,407520
Czechia,15.38327329,49.74917371,Electricity - total nuclear production,"Kilowatt-hours, million",13590,14749,18738,25872,26325,24728,26046,26172,26551,27208,27998,28283,30324,30745,30325,26841,24104,28339.6,29921.311,30246.209,30043.28,30731.18
Finland,25.65738433,65.0157896,Electricity - total nuclear production,"Kilowatt-hours, million",22479,22773,22295,22731,22716,23271,22906,23423,22958,23526,22800,23187,22987,23606,23580,23245,23203,22477,22793,23870,23291,23598
France,2.194023663,46.64236822,Electricity - total nuclear production,"Kilowatt-hours, million",415162,421076,436760,441070,448241,451529,450191,439730,439447,409736,428521,442388,425406,423685,436479,437428,403195,398359.129,412941.812,399011.587,353832.867,379361.292
Germany,10.42617143,51.0830454,Electricity - total nuclear production,"Kilowatt-hours, million",169606,171305,164842,165060,167065,163055,167269,140534,148495,134932,140556,107971,99460,97290,97129,91786,84634,76324,76005,75071,64382,69130
Hungary,19.39620048,47.22527332,Electricity - total nuclear production,"Kilowatt-hours, million",14180,14126,13953,11013,11915,13834,13461,14677,14818,15426,15761,15685,15793,15370,15649,15834,16054,16098,15733,16288,16055,15990
India,81.17300409,23.58630057,Electricity - total nuclear production,"Kilowatt-hours, million",16902,19475,19390,17780,17011,17334,18802,16957,14713,18636,26266,32287,32871,34228,36102,37414,37916,38346,37813,46472,43029,47112
"Korea, Republic of",127.7622455,36.40238671,Electricity - total nuclear production,"Kilowatt-hours, million",108964,112133,119103,129672,130715,146779,148749,142937,150958,147771,148596,154723,150327,138784,156407,164762,161995,148426.725,133505.261,145909.669,160183.721,158015.23
Mexico,-101.5539973,23.87436068,Electricity - total nuclear production,"Kilowatt-hours, million",8221,8726,9747,10502,9194,10805,10866,10421,9804,10501,5879,10089,8770,11800,9677,11577,10567,10883,13675,11190,11262,11923
Netherlands (Kingd. of the),5.554136426,52.13405413,Electricity - total nuclear production,"Kilowatt-hours, million",3926,3976,3915,4018,3822,3997,3469,4200,4169,4248,3969,4141,3915,2891,4091,4078,3960,3402.478,3514.77,3909.748,4087.363,3827.956
Pakistan,69.08835091,30.11618837,Electricity - total nuclear production,"Kilowatt-hours, million",399,1997,1740,1760,2795,2484,2288,3077,1618,2894,3420,5265,4553,4553,5090,5804,6867,9849,9134,9861,11090,17045
Romania,25.0941582,45.82454894,Electricity - total nuclear production,"Kilowatt-hours, million",5456,5446,5513,4906,5548,5555,5632,7709,11226,11752,11623,11747,11466,11618,11676,11640,11286,11508.865,11377.435,11280.167,11466.404,11284.32
Russian Federation,98.67049907,59.03943421,Electricity - total nuclear production,"Kilowatt-hours, million",130715,136935,141629,150342,144707,149446,156436,160039,163085,163584,170415,172941,177534,172508,180757,195470,196614,203143.077,204569.141,208984.183,215745,222530
Slovakia,19.58101536,48.69808391,Electricity - total nuclear production,"Kilowatt-hours, million",16494,17103,17953,17864,17026,17727,18012,15334,16703,14081,14574,15411,15495,15720,15499,15146,14774,15081,14843,15282,15444,15730
Slovenia,14.8906369,46.1375923,Electricity - total nuclear production,"Kilowatt-hours, million",4761,5257,5528,5207,5459,5884,5548,5695,6273,5739,5657,6215,5528,5300,6370,5648,5715,6285.272,5776.439,5821.257,6352.766,5705.951
South Africa,24.75252746,-28.55361931,Electricity - total nuclear production,"Kilowatt-hours, million",13010,10719,11991,12663,13365,11293,10026,11317,13004,12806,12099,13502,11954,14106,13794,12237,15913,15743,11580,13252,9903,12355
Spain,-3.651625141,40.36500834,Electricity - total nuclear production,"Kilowatt-hours, million",62206,63708,63016,61875,63606,57539,60126,55103,58973,52761,61990,57718,61470,56726,57305,57196,58633,58039,55766,58349,58299,56564
Sweden,17.06243199,62.73420986,Electricity - total nuclear production,"Kilowatt-hours, million",57316,72109,68111,67415,77486,72377,66977,66969,63889,52173,57828,60475,64037,66457,64877,56348,63101,65696,68549,66130,49198,52965
Switzerland,8.286928795,46.73678129,Electricity - total nuclear production,"Kilowatt-hours, million",26446,26811,27234,27487,26958,23341,27819,27925,27700,27686,26339,26710,25441,25990,27557,23089,21146,20376.455,25512.63,26417.6,24024.55,19363.85
Ukraine,31.27377208,48.65753252,Electricity - total nuclear production,"Kilowatt-hours, million",77341,76169,77990,81406,87022,88756,90225,92542,89841,82924,89152,90248,90137,83209,88389,87627,80950,85576,84398,83002.7,76202.7,86206.4
United Kingdom,-2.852943909,53.97844735,Electricity - total nuclear production,"Kilowatt-hours, million",85063,90094,87848,88686,79999,81618,75451,63028,52486,69098,62140,68980,70405,70607,63748,70345,71726,70336.426,65063.849,56183.934,50278.351,45903.952
United States,-96.33161661,38.82080892,Electricity - total nuclear production,"Kilowatt-hours, million",797718,792604,804519,787818,813339,810726,816195,836634,837804,830210,838931,821405,801129,822004,830584,830288,839918,838861.365,841328.625,843330.055,823149.528,811551.478
